tool_name,category,vertical,free_plan,starting_price_usd,highest_plan_price_usd,plan_count,rating,features_count,website
"Google Meet",video-conferencing,Business,true,0,21.6,4,4.6,15,https://meet.google.com
"Microsoft Teams",video-conferencing,Business,true,0,12.5,4,4.3,15,https://www.microsoft.com/microsoft-teams
"Whereby",video-conferencing,Business,true,0,11.99,3,4.6,16,https://whereby.com
"Loom",video-conferencing,Business,true,0,24,4,4.7,15,https://www.loom.com
"Webex by Cisco",video-conferencing,Business,true,0,25,4,4.3,36,https://www.webex.com
"GoTo Meeting",video-conferencing,Business,false,12,16,2,4.2,15,https://www.goto.com/meeting
"Around",video-conferencing,Business,true,0,,1,4.4,15,https://www.around.co
"Livestorm",video-conferencing,Business,true,0,99,4,4.3,15,https://livestorm.co
"Jitsi Meet",video-conferencing,Business,true,0,,3,4.3,15,https://jitsi.org
"Riverside.fm",video-conferencing,Business,true,0,29,4,4.8,15,https://riverside.com
"Daily",video-conferencing,Business,true,0,,3,4.7,15,https://www.daily.co
"Vowel",video-conferencing,Business,true,0,16.49,3,4.5,15,https://www.vowel.com
"Cal.com (Cal Video)",video-conferencing,Business,true,0,12,3,4.7,15,https://cal.com
"Butter",video-conferencing,Business,true,0,25,3,4.7,15,https://butter.us
"Dialpad",video-conferencing,Business,false,27,35,3,4.4,15,https://www.dialpad.com
"Slack",video-conferencing,Business,true,0,15,4,4.5,15,https://slack.com
"RingCentral",video-conferencing,Business,false,30,45,3,4.1,15,https://www.ringcentral.com
"SugarCRM",crm,Business,false,19,135,4,3.8,15,https://www.sugarcrm.com
"Zendesk Sell",crm,Business,false,25,149,3,4.2,15,https://www.zendesk.com/sell/
"HostGator",cloud-hosting,Business,false,3.75,6.25,3,3.5,15,https://www.hostgator.com
"HubSpot CMS",website-builders,Business,true,0,1500,4,4.5,15,https://www.hubspot.com/products/cms
"Tilda",website-builders,Business,true,0,45,3,4.6,15,https://tilda.cc
"ClickFunnels",website-builders,Business,false,81,248,2,4,15,https://www.clickfunnels.com
"Mailjet",email-marketing,Business,true,0,27,4,4,15,https://www.mailjet.com
"Twilio SendGrid",email-marketing,Business,true,0,89.95,4,4,15,https://sendgrid.com
"Demio",video-conferencing,Business,false,45,196,3,4.4,15,https://demio.com
"GIMP",design-tools,Business,true,0,,1,4.3,15,https://www.gimp.org
"CorelDRAW",design-tools,Business,false,399,779,3,4.3,15,https://www.coreldraw.com
"ChatGPT",llm,AI,true,0,30,3,4.7,15,https://chatgpt.com
"Claude",llm,AI,true,0,20,2,4.6,8,https://claude.ai
"Google Gemini",llm,AI,true,0,20,2,4.3,8,https://gemini.google.com
"Jasper",ai-writing,AI,false,39,59,3,4.7,28,https://www.jasper.ai
"Copy.ai",ai-writing,AI,false,,3000,4,4.7,8,https://www.copy.ai
"Grammarly",ai-writing,AI,true,0,12,3,4.7,8,https://www.grammarly.com
"1Password",password-managers,Business,false,2.99,7.99,3,4.8,28,https://1password.com
"Bitwarden",password-managers,Business,true,0,4,3,4.7,8,https://bitwarden.com
"LastPass",password-managers,Business,true,0,4,3,4.4,24,https://www.lastpass.com
"Dashlane",password-managers,Business,true,0,8,3,4.5,8,https://www.dashlane.com
"NordPass",password-managers,Business,true,0,4.99,3,4.4,8,https://nordpass.com
"NordVPN",vpn,Business,false,3.99,6.99,3,4.7,19,https://nordvpn.com
"ExpressVPN",vpn,Business,false,12.95,12.95,3,4.7,8,https://www.expressvpn.com
"Surfshark",vpn,Business,false,2.49,5.99,3,4.5,21,https://surfshark.com
"ProtonVPN",vpn,Business,true,0,4.99,2,4.5,8,https://protonvpn.com
"CyberGhost",vpn,Business,false,12.99,12.99,2,4.3,8,https://www.cyberghostvpn.com
"Midjourney",ai-image,AI,false,10,60,3,4.4,14,https://midjourney.com
"DALL-E 3",ai-image,AI,false,20,20,1,4.5,12,https://openai.com/dall-e-3
"Stable Diffusion",ai-image,AI,true,0,20,2,4.3,12,https://stability.ai
"Adobe Firefly",ai-image,AI,true,0,5,2,4.4,12,https://firefly.adobe.com
"Leonardo AI",ai-image,AI,true,0,30,3,4.5,12,https://leonardo.ai
"Synthesia",ai-video,AI,true,0,89,4,4.7,12,https://synthesia.io
"HeyGen",ai-video,AI,true,0,99,3,4.8,12,https://heygen.com
"Runway",ai-video,AI,true,0,76,4,4.5,12,https://runwayml.com
"Pika",ai-video,AI,true,0,76,4,4.4,12,https://pika.art
"GitHub Copilot",ai-coding,AI,true,0,39,5,4.5,16,https://github.com/features/copilot
"Cursor",ai-coding,AI,true,0,40,3,4.7,12,https://cursor.com
"Codeium",ai-coding,AI,true,0,40,4,4.6,12,https://windsurf.com
"ElevenLabs",ai-voice,AI,true,0,99,4,4.7,12,https://elevenlabs.io
"Murf AI",ai-voice,AI,true,0,66,4,4.7,12,https://murf.ai
"Play.ht",ai-voice,AI,true,0,99,3,4.5,12,https://play.ht
"n8n",ai-agents,AI,true,0,60,3,4.7,12,https://n8n.io
"Make (Integromat)",ai-agents,AI,true,0,18,3,4.7,12,https://make.com
"Perplexity AI",ai-productivity,AI,true,0,20,2,4.6,12,https://perplexity.ai
"OpenAI API",llm,AI,false,0,,1,4.7,12,https://platform.openai.com
"Hugging Face",llm,AI,true,0,20,3,4.6,12,https://huggingface.co
"Replicate",llm,AI,true,0,,1,4.5,12,https://replicate.com
"Writesonic",ai-writing,AI,true,0,199,3,4.7,12,https://writesonic.com
"Notion AI",ai-productivity,AI,false,10,10,1,4.6,12,https://notion.so/product/ai
"Rytr",ai-writing,AI,true,0,29,3,4.7,12,https://rytr.me
"Wordtune",ai-writing,AI,true,0,9.99,3,4.6,12,https://wordtune.com
"QuillBot",ai-writing,AI,true,0,13,2,4.6,12,https://quillbot.com
"Sudowrite",ai-writing,AI,false,10,44,3,4.5,12,https://sudowrite.com
"ProWritingAid",ai-writing,AI,true,0,12,3,4.5,12,https://prowritingaid.com
